Grupo,Medicamento,Claves,Descripcion_Indicaciones_Dosis,Generalidades,Riesgo_Embarazo,Efectos_Adversos,Contraindicaciones_Precauciones,Interacciones
Grupo 5: Endocrinología y Metabolismo,ATORVASTATINA,010.000.5106.00,"TABLETA Oral. Cada tableta contiene: Adultos: Hipercolesterolemia. Atorvastatina cálcica trihidratada equivalente a 20 20 mg cada 24 horas, incrementar la dosis según Hiperlipidemias. mg de atorvastatina. respuesta. 010.000.5106.00 Envase con 10 tabletas. Dosis máxima 80 mg/día.","Reduce las concentraciones plasmáticas de colesterol y lipoproteínas, inhibiendo en forma competitiva en el hígado la HMG‐ CoA reductasa y aumentando en la superficie celular el número de receptores hepáticos para LDL. Reduce la producción de LDL.",X,"Constipación, flatulencia, dispepsia, dolor abdominal, cefalea, mialgias, astenia y insomnio.","Contraindicaciones: Hipersensibilidad al fármaco, embarazo y lactancia y enfermedad hepática activa.",Los antiácidos reducen las concentraciones plasmáticas de la atorvastatina y la eritromicina las incrementa. La atorvastatina incrementa las concentraciones plasmáticas de digoxina. Los fibratos aumentan el riesgo de miopatía. BEZAFIBRATO
Grupo 5: Endocrinología y Metabolismo,BEZAFIBRATO,010.000.0655.00,"TABLETA Oral. Cada tableta contiene: Adultos: Bezafibrato 200 mg. 200 a 300 mg cada 12 horas, después de los Hiperlipidemias. alimentos. Niños: 5 a 10 mg/kg de peso corporal/día, dosis dividida cada 010.000.0655.00 Envase con 30 tabletas. 8 horas.",Hipolipemiante que disminuye la síntesis hepática de lipoproteínas al bloquear la lipolisis del tejido adiposo y reducir la concentración de ácidos grasos libres. Aumenta la depuración plasmática del colesterol de baja densidad.,X,"Náusea, vómito, meteorismo, diarrea, aumento de peso, cefalea e insomnio.","Contraindicaciones: Hipersensibilidad al fármaco, insuficiencia hepática o renal y colecistopatía.",Aumenta el efecto de anticoagulantes orales. Aumenta el efecto de la insulina y los hipoglucemiantes orales.
Grupo 5: Endocrinología y Metabolismo,CALCIO,010.000.1006.00,COMPRIMIDO Hipocalcemia. Oral. EFERVESCENTE Adultos: Cada comprimido contiene: 500 a 1000 mg cada 12 horas. Lactato gluconato de calcio 2.94 g. Niños. Carbonato de calcio 300 mg. 250 a 500 mg cada 12 horas. equivalente a 500 mg de calcio ionizable. Los comprimidos deben disolverse en 200 ml de agua. 010.000.1006.00 Envase con 12 comprimidos.,Electrolito esencial que participa en la función normal de las células musculares y nerviosas y en los mecanismos de coagulación sanguínea. También interviene en la osificación de la matriz ósea.,C,"Trastornos gastrointestinales, hipercalcemia, náusea, estreñimiento y sed.","Contraindicaciones: Hipersensibilidad al fármaco, hipercalcemia, insuficiencia renal, hipercalciuria y cálculos renales",Las tetraciclinas y los corticosteroides disminuyen su absorción intestinal. Disminuye el efecto terapéutico de los bloqueadores de calcio. Incrementa el riesgo de toxicidad por digitálicos. CALCITONINA
Grupo 5: Endocrinología y Metabolismo,CALCITONINA,010.000.5161.00; 010.000.5161.01; 010.000.5161.02,"SOLUCIÓN INYECTABLE Intramuscular, subcutánea o infusión intravenosa. Cada ampolleta o frasco Adultos: ámpula con solución o liofilizado contiene: Intramuscular y subcutánea: 50 a 100 UI cada 24 Calcitonina sintética Osteoporosis. horas o días alternos. de salmón 50 UI. Hipercalcemia. Infusión intravenosa: 5 a 10 UI/kg de peso corporal/día. 010.000.5161.00 Envase con 5 ampolletas o Enfermedad de Paget. frascos ámpula con diluyente. Administrar diluido en soluciones intravenosas 010.000.5161.01 Envase con 6 ampolletas o envasadas en frascos de vidrio. frascos ámpula con diluyente. 010.000.5161.02 Envase con 12 ampolletas o frascos ámpula con diluyente.","Hormona hipocalcémica, cuyos efectos en general se oponen a los de la hormona paratiroidea, que produce inhibición directa de la resorción ósea osteoclástica.",C,"Vértigo, náusea, vómito, escalosfrío, hiporexia y pérdida de peso. Eritema en el sitio de inyección. Tumefacción de las manos.",Contraindicaciones: Hipersensibilidad al fármaco. Precauciones: Mantener en refrigeración a temperatura entre 2 y 8 °C. Utilizar inmediatamente ya que no contiene conservadores.,Ninguna de importancia clínica.
Grupo 5: Endocrinología y Metabolismo,CALCITRIOL,010.000.1095.00,CÁPSULA DE GELATINA Oral. BLANDA Adultos: Cada cápsula contiene: Calcitriol 0.25 µg. Hipoparatiroidismo. Inicial 0.25 µg/día. Aumentar la dosis en dos a cuatro semanas a intervalos de 0.5 a 3 µg/día. Osteodistrofia renal. Niños: Inicial: 0.25 µg/día. Aumentar la dosis en 2 a 4 010.000.1095.00 Envase con 50 cápsulas. semanas a intervalos de 0.25 a 2 µg/día.,Forma más activa de vitamina D. En el organismo se sintetiza a partir del colecalciferol.,C,"Náusea, vómito e hipercalcemia, la cual da lugar a calcificación vascular generalizada.",Contraindicaciones: Hipersensibilidad al fármaco o a la vitamina D e hipercalcemia. Precauciones: Pacientes con uso de digitálicos.,Antagoniza el efecto terapéutico de los bloqueadores de calcio. Con tiazidas aumenta el riesgo de hipercalcemia. CARBONATO DE CALCIO / VITAMINA D3
Grupo 5: Endocrinología y Metabolismo,CARBONATO DE CALCIO / VITAMINA D3,010.000.6000.00,TABLETA Oral. Cada tableta contiene: Carbonato de Adultos: calcio 1666.670 mg equivalente a 600 mg 1 tableta dos veces al día con los alimentos. de calcio Coadyuvante en el tratamiento de osteoporosis. Colecalciferol 6.2 mg equivalente a 400 UI de Vitamina D3 010.000.6000.00 Envase con 30 tabletas,"El calcio es uno de los minerales esenciales en la estructura del hueso y el 99% del calcio que posee el cuerpo humano se encuentra en el esqueleto. Desde hace años existe evidencia de que la ingesta adecuada de calcio en las primeras etapas de la vida previene la posterior pérdida de la masa ósea en etapas posteriores. La vitamina D se forma en la piel por exposición a los rayos ultravioletas, y juega un papel importante en la absorción de calcio, la salud ósea, el rendimiento muscular, el equilibrio y el riesgo de caídas. Es la encargada de regular los niveles adecuados de calcio sérico y de favorecer una absorción intestinal apropiada del mineral.",A,"Distensión o dolor abdominal, constipación, diarrea, eructos, flatulencia, náusea, vómito. Hipercalciuria, nefrolitiasis.","Contraindicaciones: Hipersensibilidad al fármaco. Precauciones: No se han conducido estudios durante el embarazo en humanos, pero no se han reportado efectos indeseables a dosis terapéuticas.","El calcio puede reducir la absorción oral de antibióticos como fluoroquinolonas, tetraciclinas o levotiroxina o fenitoína. El calcio puede reducir la respuesta a los bloqueadores de los canales de calcio y en altas dosis incrementa el riesgo de arritmias cardiacas en pacientes digitalizados. La captación intestinal del calcio puede ser disminuida por la ingesta simultánea de algunos alimentos como espinacas, ruibarbo, salvado, otros cereales, leche y productos lácteos. La administración concomitante con estrógenos puede aumentar la absorción de calcio. No se deberá administrar con antiácidos que contengan magnesio."
Grupo 5: Endocrinología y Metabolismo,DEFLAZACORT,010.000.4505.00; 010.000.4507.00,"TABLETA Oral. Cada tableta contiene: Adultos: Deflazacort 6 mg. Inicial: 6-120 mg por día, dependiendo de la gravedad 010.000.4505.00 Envase con 20 tabletas. del cuadro clínico. TABLETA Procesos inflamatorios Sostén: 18 mg por día, que deberá ajustarse de Cada tableta contiene: graves y autoinmunes. acuerdo con la respuesta clínica. Deflazacort 30 mg. Niños: 010.000.4507.00 Envase con 10 tabletas. 0.25-2 mg por día, aunque dependerá de la gravedad del cuadro clínico y deberá ajustarse de acuerdo con la repuesta clínica.","Derivado oxazolínico del glucocorticoide prednisolona, con propiedades inmunomoduladoras y antiinflamatorias.",B,"Trastornos gastrointestinales sistémicos, metabólicos y nutricionales, del sistema nervioso central y periférico, psiquiátricos y de la piel.",Contraindicaciones: Hipersensibilidad al fármaco.,Con glucósidos cardiacos o diuréticos se incrementa el riesgo de hipocalemia. DESMOPRESINA
Grupo 5: Endocrinología y Metabolismo,DESMOPRESINA,010.000.1097.00; 010.000.1099.00; 010.000.5169.00; 010.000.5690.00; 010.000.5691.00,"TABLETA Cada tableta contiene: Acetato de desmopresina equivalente a 60 µg de Oral. desmopresina. Niños de 6 a 12 años de edad: 010.000.5690.00 Envase con 30 tabletas. Dosis inicial: 120 µg antes de acostarse, por vía Enuresis nocturna. sublingual, cada 24 horas. TABLETA En caso necesario, la dosis puede aumentarse hasta Cada tableta contiene: 240 µg. Se debe acompañar de restricción nocturna Acetato de desmopresina de líquidos. equivalente a 120 µg de desmopresina. 010.000.5691.00 Envase con 30 tabletas. TABLETA Cada tableta contiene: Oral. Acetato de desmopresina 0.2 mg Adultos y niños: equivalente a 178 µg 100 a 200 µg de acetato de desmopresina cada 24 de desmopresina. horas, antes de acostarse. 010.000.1099.00 Envase con 30 tabletas. Diabetes insípida. SOLUCIÓN NASAL Enuresis primaria. Cada ml contiene: Intranasal. Acetato de desmopresina equivalente a 89 µg Adultos: de desmopresina. De 5 a 40 µg/día, cada 8 horas. 010.000.1097.00 Envase nebulizador con 2.5 Niños de 3 meses a 12 años: ml. De 5 a 30 µg diariamente en una dosis. SOLUCIÓN INYECTABLE Intravenosa. Cada ampolleta contiene: Adultos: Acetato de Desmopresina 15 μg. 0.3 μg de peso corporal. Puede repetirse a las 6 horas. 010.000.5169.00 Envase con 5 ampolletas con un ml.",Análogo de la vasopresina que aumenta la permeabilidad de los túbulos contorneados y promueve la reabsorción de agua produciendo aumento de la osmolaridad de la orina y disminución del volumen urinario. Aumenta el factor de von Willebrand y acorta el tiempo de hemorragia.,B,"Dolor abdominal, náusea, rubor facial durante la administración, palidez y cefalea.","Contraindicaciones: Hipersensibilidad al fármaco, Enfermedad de von Willebrand tipo Iib, enfermedad coronaria, hipertensión arterial, hemofilia y congestión nasal.","La carbamazepina, clorpropamida y antiinflamatorios no esteroideos incrementar su efecto antidiurético. DEXAMETASONA"
Grupo 5: Endocrinología y Metabolismo,DEXAMETASONA,010.000.3432.00,"TABLETA Enfermedades alérgicas. Oral. Cada tableta contiene Enfermedades inflamatorias. Adultos: Dexametasona 0.5 mg. Inicial: 0.25 a 4 mg/día, dividida cada 8 horas. Enfermedad de Addison. Mantenimiento: 0.5 a 1.5 mg/día, fraccionada cada 8 horas. Se debe disminuir la dosis paulatinamente Asma bronquial. hasta alcanzar el efecto terapéutico deseado. Niños: 010.000.3432.00 Envase con 30 tabletas. 0.2 a 0.3 mg/kg de peso corporal/día, dividida cada 8 horas.","Glucocorticoide que inhibe a la fosfolipasa A2 y, por lo tanto inhibe la síntesis de proteínas, tromboxanos y leucotrienos.",C,"Catarata, síndrome de Cushing, obesidad, osteoporosis, gastritis, superinfecciones, glaucoma, hiperglucemia, hipercatabolismo muscular, cicatrización retardada y retraso en el crecimiento","Contraindicaciones: Hipersensibilidad al fármaco. Micosis sistémica. Precauciones: Úlcera péptica, hipertensión arterial, DM 1 y DM 2, insuficiencias hepática y renal, inmunosupresión, terapia con tiazidas y furosemida.","El alcohol y los antiinflamatorios no esteroideos incrementan los efectos adversos gastrointestinales. Efedrina, fenobarbital y rifampicina disminuye el efecto terapéutico. EZETIMIBA"
Grupo 5: Endocrinología y Metabolismo,EZETIMIBA,010.000.4024.00; 010.000.4024.01; 010.000.4024.02; 010.000.4024.03; 010.000.4024.04; 010.000.4024.05,"TABLETA Hipercolesterolemia. Oral. Cada tableta contiene: Adultos: Ezetimiba 10 mg. 10 mg al día, sola o combinada con una estatina. 010.000.4024.00 Envase con 7 tabletas. 010.000.4024.01 Envase con 10 tabletas. 010.000.4024.02 Envase con 14 tabletas. 010.000.4024.03 Envase con 21 tabletas. 010.000.4024.04 Envase con 28 tabletas. 010.000.4024.05 Envase con 30 tabletas.",Actúa en las vellocidades del intestino delgado inhibiendo la absorción de colesterol.,C,"9 martes, 06 de noviembre de 2018 Angioedema, diarrea, dolor abdominal, artralgia, fatiga, dolor de espalda y tos.",Contraindicaciones: Hipersensibilidad al fármaco. Precauciones: Enfermedad hepática.,Con la ciclosporina incrementa sus niveles. FLUDROCORTISONA
Grupo 5: Endocrinología y Metabolismo,FLUDROCORTISONA,010.000.4160.00,"COMPRIMIDO Oral. Cada comprimido contiene: Adulto: Acetato de Insuficiencia adrenocortical fludrocortisona 0.1 mg. crónica. 100 µg cada 24 horas; disminuir a 50 µg cada 24 horas, si se presenta hipertensión arterial. Síndrome adrenogenital con pérdida de sal. Niños: 010.000.4160.00 Envase con 100 comprimidos. 50 a 100 µg cada 24 horas.",Glucocorticoide sintético con actividad mineralocorticoide muy elevada y moderada actividad glucocorticoide.,C,"Hipertensión arterial, reacción anafiláctica, vértigo, insuficiencia cardiaca congestiva, cefalea grave, hipokalemia y edema periférico.","Contraindicaciones: Hipersensibilidad a la fludrocortisona. Precauciones: Considerar riesgo beneficio en pacientes con insuficiencia cardiaca congestiva, hipertensión arterial, alteración de la función renal, durante el embarazo y la lactancia. No se debe suspender bruscamente el tratamiento.",Con digitálicos puede producir arritmias cardiacas. Con diuréticos se intensifica el efecto hipokalémico. GALSULFASA
Grupo 5: Endocrinología y Metabolismo,GALSULFASA,010.000.5543.00,"SOLUCIÓN INYECTABLE Intravenosa. Niños, adolescentes y adultos Cada frasco ámpula contiene: 1.0 mg/kg de peso corporal, una vez por semana, Galsulfasa 5 mg. Terapia de reemplazo administrados en solución a lo largo de 4 horas. enzimático para la La Galsulfasa debe diluirse en solución salina al 0.9%, Mucopolisacaridosis VI a un volumen total de 250 ml. En sujetos con peso < (Enfermedad de Maroteaux- 20 kg susceptibles a sobrecarga de líquidos, puede Lamy). 010.000.5543.00 Envase con un frasco ámpula con reducirse el volumen total a 100 ml. 5 ml (1 mg/ml). Se recomienda administrar el 2.5% del volumen en la primera hora, y el 97.5% restante a lo largo de las tres horas siguientes.","La Galsulfasa ha sido desarrollada con la finalidad de ofrecer un tratamiento de la MPS VI, al reemplazar la enzima deficiente, la N‐ acetilgalactosamina 4‐sulfatasa (aril sulfatasa B), reduciendo con ello la acumulación anormal de GAG que es la causa de los efectos deletéreos a la enfermedad.",C,"Faringitis, gastroenteritis, arreflexia, conjuntivitis, opacidad corneal, otalgia, hipertensión, disnea, apnea, congestión nasal, dolor abdominal, hernia umbilical, edema facial, dolor torácico, temblores, malestar general.","Contraindicaciones: Hipersensibilidad al fármaco. Precauciones: La apnea del sueño es común en pacientes con MPS VI, y el tratamiento previo con antihistamínicos puede aumentar el riesgo de episodios de apnea. La evaluación de la permeabilidad de las vías aéreas debe ser considerada antes del inicio del tratamiento. Pacientes que emplean oxígeno o presión positiva continua en las vías aéreas durante el sueño deben tener estos dispositivos prontamente disponibles durante la infusión, para el caso de una posible reacción o exceso de somnolencia/sueño inducidos por el uso de antihistamínico. En la MPS VI, los síntomas relacionados con obstrucción de las vías aéreas y características anatómicas como las alteraciones craneofaciales, cuello corto, rigidez de articulaciones Facio‐cervicales, y laringe posicionada anterolateralmente son factores que complican la laringoscopía e intubación. Se requiere practicar una evaluación cuidadosa del sistema cardiovascular y respiratorio antes de realizar procedimientos como sedación o anestesia; debe involucrarse a un otorrinolaringólogo en estos procedimientos. 10 martes, 06 de noviembre de 2018","No se han realizado estudios de interacciones, ni se han identificado en la experiencia clínica con el producto. GLIBENCLAMIDA"
Grupo 5: Endocrinología y Metabolismo,GLIBENCLAMIDA,010.000.1042.00,"TABLETA Oral. Cada tableta contiene: Adultos: Glibenclamida 5 mg. Diabetes mellitus tipo 2. 2.5 a 5 mg cada 24 horas, después de los alimentos. Dosis máxima 20 mg/día. Dosis mayores de 10 mg se deben de administrar 010.000.1042.00 Envase con 50 tabletas. cada 12 horas.","Hipoglucemiante oral derivado de las sulfonilureas que estimula la actividad de las células beta del páncreas, promoviendo la liberación de la insulina.",C,"Hipoglucemia, urticaria, fatiga, debilidad, cefalea, náusea, diarrea, hepatitis reactiva, anemia hemolítica e hipoplasia medular.","Contraindicaciones: Hipersensibilidad al fármaco y derivados de las sulfonamidas. Diabetes mellitus tipo 1, insuficiencia renal, embarazo y lactancia.","Ciclofosfamida, anticoagulantes orales, betabloqueadores y sulfonamidas, aumentan su efecto hipoglucemiante. Los adrenérgicos corticosteroides, diuréticos tiacídicos y furosemida, disminuyen su efecto hipoglucemiante. Con alcohol etílico se presenta una reacción tipo disulfirám. GONADOTROFINA CORIÓNICA"
Grupo 5: Endocrinología y Metabolismo,GONADOTROFINA CORIÓNICA,010.000.1081.00; 010.000.1081.01; 010.000.1081.02,"SOLUCIÓN INYECTABLE Inductor de la ovulación en Intramuscular o subcutánea. caso de infertilidad Adultos: Cada frasco ámpula o femenina. Mujer: 5 000 a 10 000 UI, un día después de la última ampolleta con liofilizado dosis de urofilotropina ó 5 a 12 días después de la contiene: Hipogonadismo. última dosis de clomifeno. Gonadotrofina coriónica 5 000 UI. Criptorquidia no obstructiva. Hombres: 1 000 a 4 000 UI tres veces a la semana durante 3 a 9 meses. 010.000.1081.00 Envase con 1 frasco ámpula y Infertilidad femenina. ampolleta con 2 ml de Niños: diluyente. Hipogonadismo. 1 000 a 5 000 UI cada tercer día. Administrar 4 dosis. 010.000.1081.01 Envase con 1 o 3 ampolletas o Subcutánea. frascos viales y 1 o 3 Hipogonadotrófico. ampolletas con 1 ml de Mujeres con anovulación u oligoovulación: diluyente. 250 µg 24-48 horas después de última aplicación de FSH o después de la última dosis de clomifeno, SOLUCIÓN INYECTABLE cuando se ha logrado una estimulación óptIma del desarrollo folicular. Cada frasco ámpula con liofilizado contiene: Mujeres sometidas a técnicas de reproducción Gonadotrofina asistida: coriónica 250 µg 250 µg 24-48 horas después de la última aplicación Envase con un de FSH, cuando se ha logrado una estimulación frasco ámpula con óptima del desarrollo folicular. 010.000.1081.02 liofilizado y frasco ámpula o ampolleta Hipogonadismo hipogonadotrófico: con 1 ml de diluyente. 250 µg dos veces por semana alternando con FSH (75 a 150 UI) tres veces por semana. Para estimular la espermatogénesis se requieren 12 semanas de tratamiento.",Sustituto hormonal que estimula la ovulación de un folículo maduro y la producción de andrógenos en las células de Leydig.,C,"Dolor en el sitio de la inyección, pubertad precoz, cefalea, irritabilidad, depresión.","Contraindicaciones: Hipersensibilidad al fármaco, tumores hipofisiarios y gonadales, distrofia ovárica, pubertad precoz y tumores dependientes de androgenos.",Con hormona luteinizante y folículo estimulante se favorece la ovulación. IDURSULFASA
Grupo 5: Endocrinología y Metabolismo,IDURSULFASA,010.000.5550.00,"SOLUCIÓN INYECTABLE Síndrome de Hunter Infusión intravenosa. (Mucopolisacaridosis II). Cada frasco ámpula contiene: Adultos y niños de 5 años de edad y mayores: Idursulfasa 6 mg. 0.5 mg/kg de peso corporal, administrado semanalmente. 010.000.5550.00 Envase con frasco ámpula con Diluir en 100 ml de solución de cloruro de sodio al 3 ml (6 mg/3 ml). 0.9%. Administrar en un periodo de 1 a 3 horas.","La idursulfasa es una forma purificada de la enzima lisosomal iduronato‐2‐ sulfatasa, que funciona para catabolizar los glicosaminoglicanos dermatan sulfato y heparan sulfato, por escisión de los grupos sulfatos ligados a los oligosacáridos.",C,"Dificultad para respirar, hipoxia, hipotensión, crisis convulsiva, pérdida del conocimiento, angioedema de la garganta o de la lengua, hipertensión, dispepsia, urticaria, erupción, prurito.",Contraindicaciones: Hipersensibilidad al medicamento. Precauciones: Pacientes con enfermedad subyacente grave de las vías respiratorias.,No se han realizado estudios formales de interacciones farmacológicas. IMIGLUCERASA
Grupo 5: Endocrinología y Metabolismo,IMIGLUCERASA,010.000.5545.00,"SOLUCIÓN INYECTABLE Infusión intravenosa. Cada frasco ámpula con polvo Niños, adolescentes y adultos: contiene: 60 U/kg de peso corporal, una vez cada 2 semanas, Imiglucerasa 400 U. en los primeros meses. Ajustar después la dosis según la respuesta del paciente al tratamiento. Enfermedad de Gaucher no Para enfermedad de Gaucher neuropática o de tipo neuropática (Tipo I) III, 120 U/kg de peso corporal, una vez cada 2 semanas, y hasta 240 U/kg de peso corporal, una vez Neuropática crónica (Tipo III) cada 2 semanas. por deficiencia de la enzima Glucocerebrosidasa. Administrar diluido en soluciones intravenosas de cloruro de sodio al 0.9%, envasadas en frascos de vidrio (diluir la dosis reconstituida en un volumen de 100 a 200 ml). Administrar la solución durante 1 a 2 horas. Velocidad 010.000.5545.00 Envase con frasco ámpula con no superior a 1 unidad por kg de peso corporal por polvo liofilizado. minuto.","Enzima análoga de la enzima humana glucocerebrosidasa, Imiglucerasa, purificada por medio de tecnología de ADN recombinante utilizando cultivos celulares vivos de ovario de hámster chino. Imiglucerasa actúa sobre la causa subyacente de la enfermedad de Gucher Tipo I y III, debida a la deficiencia, carencia o mal funcionamiento de la enzima Glucocerebrosidasa la cual cataboliza la hidrólisis de los glucolípidos (glucosil‐ceramida).",C,"Náusea, vómito, dolor abdominal, diarrea, mareos, cefalea, parestesia, taquicardia, cianosis, enrojecimiento facial, hipotensión, síntomas respiratorios y artralgia.",Contraindicaciones: Hipersensibilidad al fármaco. Precauciones: Reacciones de hipersensibilidad graves de tipo alérgico. Pacientes que han desarrollado anticuerpos o síntomas de hipersensibilidad a Imiglucerasa.,No se han realizado estudios de interacción. INSULINA GLARGINA
Grupo 5: Endocrinología y Metabolismo,INSULINA GLARGINA,010.000.4158.00; 010.000.4158.01,"SOLUCIÓN INYECTABLE Subcutánea. Cada ml de solución contiene: Adultos: Insulina glargina 3.64 mg equivalente a 100.0 UI Una vez al día, por la noche. de insulina humana. Diabetes mellitus tipo 1 La dosis deberá ajustarse individualmente a juicio del especialista. 010.000.4158.00 Envase con un frasco ámpula Diabetes mellitus tipo 2. con 10 ml. 010.000.4158.01 Envase con 5 cartuchos de vidrio con 3 ml en dispositivo desechable.","Análogo de la insulina humana que tiene baja solubilidad a pH neutro. A pH ácido (pH 4) es completamente soluble. Después de su inyección subcutánea la solución ácida es neutralizada provocando la formación de microprecipitados de los que se liberan continuamente pequeñas cantidades de insulina glargina, lo que da origen a una concentración uniforme y sin picos con duración de acción prolongada.",B,"Reacciones alérgicas, lipodistrofia, hipokalemia e hipoglucemia.",Contraindicaciones: Hipersensibilidad a la insulina glargina o a cualquiera de los componentes de la fórmula. Precauciones: Insuficiencia renal y hepática. Los betabloqueadores enmascaran los síntomas de hipoglucemia.,"Pueden aumentar el efecto hipoglucemiante y la susceptibilidad a la hipoglucemia los antidiabéticos orales, inhibidores de la ECA, salicilatos, disopiramida, fibratos, fluoxetina, inhibidores de la MAO, pentoxifilina, propoxifeno y antibióticos sulfonamídicos. Pueden reducir el efecto hipoglucemiante los corticosteroides, danazol, diazóxido, diuréticos, glucagón, isoniazida, derivados de fenotiacinas somatotropina, hormonas tiroideas, estrógenos y progestágenos, inhibidores de proteasas y medicamentos antipsicóticos atípicos como olanzapina y clozapina. Los betabloqueadores, la clonidina, las sales de litio y el alcohol, pueden potenciar o debilitar el efecto hipoglucemiante. La pentamidina puede causar hipoglucemia que en ocasiones puede ir seguida de hiperglucemia."
Grupo 5: Endocrinología y Metabolismo,INSULINA HUMANA,010.000.1050.00; 010.000.1050.01; 010.000.1051.00; 010.000.1051.01; 010.000.4157.00,"SUSPENSIÓN INYECTABLE Diabetes mellitus tipo 1. Subcutánea o intramuscular. ACCIÓN INTERMEDIA NPH Acidosis y coma diabético. Adultos y niños: Cada ml contiene: Insulina humana isófana Diabetes mellitus tipo 2 no Las dosis deben ser ajustadas en cada caso y a (origen ADN controlada. juicio del médico especialista. recombinante) 100 UI. ó Hiperpotasemia. Insulina zinc isófana humana (origen ADN recombinante) 100 UI. 010.000.1050.00 Envase con un frasco ámpula con 5 ml. 010.000.1050.01 Envase con un frasco ámpula con 10 ml. SOLUCIÓN INYECTABLE Subcutánea, intramuscular o intravenosa. ACCIÓN RÁPIDA REGULAR Adultos y niños: Cada ml contiene: Insulina humana (origen ADN Las dosis deben ser ajustadas en cada caso y a recombinante) 100 UI. juicio del médico especialista. ó Insulina zinc isófana humana (origen ADN recombinante) 100 UI. 010.000.1051.00 Envase con un frasco ámpula con 5 ml. 010.000.1051.01 Envase con un frasco ámpula con 10 ml. SUSPENSIÓN INYECTABLE Subcutánea o intramuscular. ACCIÓN INTERMEDIA LENTA Adultos: Cada ml contiene: Insulina Las dosis deben ser ajustadas en cada caso y a zinc compuesta humana juicio del médico especialista. (origen ADN recombinante) 100 UI. 010.000.4157.00 Envase con un frasco ámpula con 10 ml.",Hormona que aumenta el transporte de glucosa a través de la membrana e influye en la actividad de diversas enzimas del metabolismo intermedio.,B,Hipersensibilidad inmediata. Síndrome hipoglucemico. Lipodistrofia.,Contraindicaciones: Hipersensibilidad al fármaco.,"Alcohol, betabloqueadores, salicilatos, inhibidores de la monoamino‐oxidasa y tetraciclinas, aumentan el efecto hipoglucémico. Los corticosteroides, diuréticos tiacídicos y furosemida disminuyen el efecto hipoglucemiante. INSULINA LISPRO"
Grupo 5: Endocrinología y Metabolismo,INSULINA LISPRO,010.000.4162.00,SOLUCIÓN INYECTABLE. Diabetes mellitus tipo 1. Subcutánea. Cada ml contiene: Adulto y niños: Insulina lispro (origen ADN recombinante) 100 UI. La dosis se establece de acuerdo a las necesidades del paciente. 010.000.4162.00 Envase con un frasco ámpula con 10 ml.,"14 martes, 06 de noviembre de 2018 Análogo de la insulina, con la misma estabilidad que la insulina humana regular, pero con una absorción mucho más rápida, lo que le proporciona un perfil más fisiológico.",B,"Reacciones alérgicas, lipodistrofia, hipokalemia y hipoglucemia.",Contraindicaciones: Hipersensibilidad al fármaco e hipoglucemia. Precauciones: Insuficiencia renal y hepática. Los betabloqueadores enmascaran los síntomas de hipoglucemia.,"Anticonceptivos orales, corticoesteroides y hormonas tiroideas disminuyen el efecto hipoglucemiante. Salicilatos, sulfonamidas e inhibidores de la monoamino oxidasa y de la enzima convertidora de angiotensina y aumentan el efecto hipoglucemiante. INSULINA LISPRO, LISPRO PROTAMINA"
Grupo 5: Endocrinología y Metabolismo,"INSULINA LISPRO, LISPRO PROTAMINA",010.000.4148.00; 010.000.4148.01,SUSPENSIÓN INYECTABLE Diabetes mellitus insulino Subcutánea. dependiente. Cada ml contiene: Adultos: Insulina lispro (origen ADN recombinante) 25 UI A juicio del médico especialista y de acuerdo con las Insulina lispro protamina necesidades del paciente. (origen ADN recombinante) 75 UI. 010.000.4148.00 Envase con dos cartuchos con 3 ml.. 010.000.4148.01 Envase con un frasco ámpula con 10 ml.,"Análogo de la insulina, con la misma estabilidad que la insulina humana regular, pero con una absorción mucho más rápida, lo que le proporciona un perfil más fisiológico.",B,"Reacciones alérgicas, lipodistrofia, hipokalemia e hipoglucemia.","Contraindicaciones: Hipersensibilidad al fármaco, hipoglucemia. Precauciones: Insuficiencia renal y hepática. Los betabloqueadores enmascaran los síntomas de hipoglucemia.","Anticonceptivos orales, corticoesteroides y hormonas tiroideas disminuyen el efecto hipoglucemiante. Salicilatos, sulfonamidas e inhibidores de la monoamino‐oxidasa y de la enzima convertidora de angiotensina, aumentan el efecto hipoglucemiante."
